income,credit_score,loan_amount,loan_term,employment_years,digital_activity_score,transaction_consistency,default,transaction_count,unusual_transaction_ratio,account_age_days,login_frequency,fraud
103125.48,325,75447.3,137,6.7,0.7365,0.6767,0,45,0.5905,131,1.86,1
85696.19,327,58318.28,344,21.0,0.4195,0.4492,1,4,0.7588,654,21.25,1
40212.33,644,14709.98,206,2.9,0.8475,0.6037,0,236,0.5362,1551,3.29,1
101723.17,670,59848.45,47,1.4,0.2279,0.2894,1,120,0.8665,1557,9.06,1
67428.18,679,38750.72,355,8.0,0.9367,0.648,0,88,0.5341,1003,5.74,1
148638.04,524,70038.35,40,6.9,0.0321,0.3155,0,109,0.9131,2324,26.41,1
105207.03,705,89044.9,341,13.8,0.2649,0.2466,0,135,0.747,1755,27.04,1
48511.7,441,53405.0,58,22.7,0.8611,0.1528,1,217,0.5964,1577,12.07,0
88784.86,311,69626.92,70,20.5,0.537,0.2668,0,58,0.2935,648,14.16,0
133860.88,569,97329.37,103,15.2,0.1064,0.6253,0,260,0.609,627,11.84,1
143954.97,843,92256.88,318,9.7,0.0195,0.9291,0,158,0.2395,987,26.46,0
31134.95,797,82522.21,284,23.0,0.1284,0.4753,0,136,0.5277,2485,13.27,1
90108.49,505,72730.15,216,29.9,0.6499,0.4381,0,62,0.2479,263,10.8,0
49914.92,525,5683.13,335,1.8,0.0674,0.0314,0,264,0.238,2741,15.08,0
114035.83,784,28084.74,254,24.2,0.1904,0.0969,0,217,0.4111,3539,22.14,0
147941.48,400,10758.2,185,24.0,0.1093,0.1916,0,72,0.4219,1141,14.42,0
29800.04,400,9805.89,288,25.1,0.969,0.9264,0,86,0.4064,1972,7.2,0
27622.6,688,5204.76,211,8.0,0.7841,0.455,0,285,0.6619,1994,5.49,1
145932.22,362,76057.68,41,1.5,0.4768,0.9194,0,30,0.9608,329,25.69,1
28834.91,540,43358.68,303,7.4,0.5945,0.6194,0,299,0.5652,1296,28.11,1
113104.93,544,30233.38,79,20.2,0.3,0.3162,0,38,0.0093,2545,29.96,0
29523.89,518,53059.05,79,28.0,0.8809,0.8793,0,81,0.4382,2226,21.4,0
148340.3,841,5743.2,295,9.0,0.6634,0.9389,0,60,0.8897,3041,17.04,1
98627.88,651,24341.74,336,25.6,0.5054,0.2511,0,27,0.0923,1735,25.05,1
